Numero de regras = 835
premissa ==> conclusao (suporte,confianca)
{rad.msn ad.yieldmanager.com gstatic}==>{google yahoo} (0.007142857,1.0)
{rad.msn bn.uol.com.br ad.doubleclick.net orkut}==>{google} (0.007142857,1.0)
{rad.msn view.atdmt.com ad.doubleclick.net bn.uol.com.br ad.yieldmanager.com}==>{google yahoo} (0.007142857,1.0)
{rad.msn view.atdmt.com ad.doubleclick.net orkut}==>{google} (0.007142857,1.0)
{rad.msn view.atdmt.com ad.yieldmanager.com terra}==>{google yahoo} (0.007142857,1.0)
{rad.msn yahoo gstatic}==>{google ad.yieldmanager.com} (0.007142857,1.0)
{terra ad.doubleclick.net view.atdmt.com yahoo uai}==>{google} (0.007142857,1.0)
{uai ad.doubleclick.net ad.yieldmanager.com bn.uol.com.br terra}==>{google yahoo} (0.007142857,1.0)
{uai ad.yieldmanager.com bn.uol.com.br view.atdmt.com ad.doubleclick.net}==>{google yahoo} (0.007142857,1.0)
{uai bn.uol.com.br yahoo ad.yieldmanager.com rad.msn}==>{google} (0.007142857,1.0)
{uai globo terra rad.msn}==>{google} (0.007142857,1.0)
{uai google globo gstatic ad.yieldmanager.com}==>{yahoo} (0.007142857,1.0)
{uai orkut ad.yieldmanager.com gstatic}==>{yahoo} (0.007142857,1.0)
{uai view.atdmt.com ad.doubleclick.net globo terra}==>{google} (0.007142857,1.0)
{uai view.atdmt.com gstatic}==>{ad.yieldmanager.com yahoo} (0.007142857,1.0)
{uai yahoo ad.yieldmanager.com ad.doubleclick.net rad.msn}==>{google} (0.007142857,1.0)
{view.atdmt.com bn.uol.com.br rad.msn ad.doubleclick.net uai}==>{google yahoo} (0.007142857,1.0)
{view.atdmt.com orkut ad.doubleclick.net globo uai}==>{ad.yieldmanager.com yahoo} (0.007142857,1.0)
{view.atdmt.com orkut yahoo globo uai}==>{ad.doubleclick.net ad.yieldmanager.com} (0.007142857,1.0)
{view.atdmt.com rad.msn ad.doubleclick.net globo}==>{google bn.uol.com.br yahoo} (0.007142857,1.0)
{view.atdmt.com rad.msn ad.yieldmanager.com bn.uol.com.br globo}==>{google yahoo} (0.007142857,1.0)
{view.atdmt.com rad.msn terra globo}==>{google bn.uol.com.br yahoo} (0.007142857,1.0)
{view.atdmt.com terra globo orkut}==>{google ad.doubleclick.net ad.yieldmanager.com} (0.007142857,1.0)
{view.atdmt.com terra google orkut ad.yieldmanager.com}==>{globo ad.doubleclick.net} (0.007142857,1.0)
{view.atdmt.com uai orkut yahoo bn.uol.com.br}==>{google ad.yieldmanager.com} (0.007142857,1.0)
{view.atdmt.com yahoo rad.msn ad.doubleclick.net terra}==>{google bn.uol.com.br} (0.007142857,1.0)
{yahoo ad.doubleclick.net ad.yieldmanager.com orkut gstatic}==>{google} (0.007142857,1.0)
{yahoo ad.yieldmanager.com terra ad.doubleclick.net orkut google}==>{globo} (0.007142857,1.0)
{yahoo ad.yieldmanager.com terra globo orkut}==>{google ad.doubleclick.net} (0.007142857,1.0)
{yahoo bn.uol.com.br gstatic ad.doubleclick.net}==>{google ad.yieldmanager.com} (0.007142857,1.0)
{yahoo bn.uol.com.br view.atdmt.com terra globo}==>{google rad.msn} (0.007142857,1.0)
{yahoo globo ceipmsn ad.doubleclick.net}==>{ad.yieldmanager.com} (0.007142857,1.0)
{yahoo rad.msn terra globo}==>{google view.atdmt.com bn.uol.com.br} (0.007142857,1.0)
{youtube bn.uol.com.br ad.doubleclick.net ad.yieldmanager.com}==>{yahoo} (0.007142857,1.0)
{youtube ceipmsn bn.uol.com.br orkut}==>{yahoo} (0.007142857,1.0)
{youtube ceipmsn bn.uol.com.br yahoo}==>{orkut} (0.007142857,1.0)
{ad.doubleclick.net ad.yieldmanager.com orkut bn.uol.com.br rad.msn}==>{google yahoo} (0.0057142857,1.0)
{ad.doubleclick.net bn.uol.com.br ad.yieldmanager.com globo gstatic}==>{google yahoo} (0.0057142857,1.0)
{ad.doubleclick.net bn.uol.com.br gstatic orkut}==>{google ad.yieldmanager.com yahoo} (0.0057142857,1.0)
{ad.doubleclick.net bn.uol.com.br yahoo globo gstatic}==>{google ad.yieldmanager.com} (0.0057142857,1.0)
{ad.doubleclick.net orkut bn.uol.com.br view.atdmt.com terra}==>{ad.yieldmanager.com} (0.0057142857,1.0)
{ad.doubleclick.net rad.msn uai terra}==>{google view.atdmt.com bn.uol.com.br yahoo} (0.0057142857,1.0)
{ad.doubleclick.net terra google view.atdmt.com bn.uol.com.br ad.yieldmanager.com}==>{globo} (0.0057142857,1.0)
{ad.doubleclick.net uai globo gstatic}==>{google ad.yieldmanager.com yahoo} (0.0057142857,1.0)
{ad.doubleclick.net view.atdmt.com bn.uol.com.br uai terra}==>{google rad.msn yahoo} (0.0057142857,1.0)
{ad.doubleclick.net yahoo orkut bn.uol.com.br rad.msn}==>{google ad.yieldmanager.com} (0.0057142857,1.0)
{ad.doubleclick.net youtube globo}==>{ad.yieldmanager.com yahoo} (0.0057142857,1.0)
