Numero de regras = 876
premissa ==> conclusao (suporte,confianca)
{view.atdmt.com ad.yieldmanager.com uai rad.msn}==>{yahoo} (0.0070422534,1.0)
{view.atdmt.com bn.uol.com.br rad.msn gstatic}==>{google} (0.0070422534,1.0)
{view.atdmt.com gstatic uai}==>{google} (0.0070422534,1.0)
{view.atdmt.com rad.msn bn.uol.com.br ad.yieldmanager.com google orkut}==>{yahoo} (0.0070422534,1.0)
{view.atdmt.com yahoo ad.doubleclick.net gstatic}==>{google} (0.0070422534,1.0)
{view.atdmt.com yahoo rad.msn gstatic orkut}==>{google} (0.0070422534,1.0)
{yahoo ad.doubleclick.net rad.msn view.atdmt.com google orkut}==>{ad.yieldmanager.com} (0.0070422534,1.0)
{yahoo ad.yieldmanager.com rad.msn view.atdmt.com globo}==>{orkut bn.uol.com.br} (0.0070422534,1.0)
{yahoo ad.yieldmanager.com view.atdmt.com youtube}==>{orkut} (0.0070422534,1.0)
{yahoo bn.uol.com.br youtube orkut globo}==>{google} (0.0070422534,1.0)
{yahoo globo rad.msn google orkut ad.yieldmanager.com}==>{bn.uol.com.br} (0.0070422534,1.0)
{yahoo terra google ad.yieldmanager.com globo orkut}==>{bn.uol.com.br} (0.0070422534,1.0)
{yahoo view.atdmt.com bn.uol.com.br gstatic orkut}==>{google ad.yieldmanager.com} (0.0070422534,1.0)
{youtube terra ad.doubleclick.net}==>{bn.uol.com.br} (0.0070422534,1.0)
{youtube terra bn.uol.com.br google}==>{yahoo} (0.0070422534,1.0)
{youtube terra bn.uol.com.br yahoo}==>{google} (0.0070422534,1.0)
{youtube uai ad.yieldmanager.com}==>{yahoo} (0.0070422534,1.0)
{youtube view.atdmt.com globo}==>{google} (0.0070422534,1.0)
{ad.doubleclick.net ad.yieldmanager.com youtube globo}==>{orkut google yahoo} (0.0056338026,1.0)
{ad.doubleclick.net bn.uol.com.br google terra ad.yieldmanager.com globo}==>{orkut yahoo} (0.0056338026,1.0)
{ad.doubleclick.net google view.atdmt.com rad.msn ad.yieldmanager.com globo}==>{bn.uol.com.br} (0.0056338026,1.0)
{ad.doubleclick.net google view.atdmt.com rad.msn bn.uol.com.br globo}==>{ad.yieldmanager.com} (0.0056338026,1.0)
{ad.doubleclick.net gstatic ad.yieldmanager.com bn.uol.com.br}==>{orkut google yahoo} (0.0056338026,1.0)
{ad.doubleclick.net orkut google terra yahoo ad.yieldmanager.com globo}==>{bn.uol.com.br} (0.0056338026,1.0)
{ad.doubleclick.net rad.msn gstatic}==>{google yahoo} (0.0056338026,1.0)
{ad.doubleclick.net uai ad.yieldmanager.com bn.uol.com.br orkut}==>{google yahoo} (0.0056338026,1.0)
