Numero de regras = 1246
premissa ==> conclusao (suporte,confianca)
{gstatic globo google view.atdmt.com ad.yieldmanager.com}==>{yahoo} (0.0083916085,1.0)
{gstatic globo orkut uai ad.doubleclick.net}==>{google ad.yieldmanager.com yahoo} (0.0083916085,1.0)
{gstatic globo yahoo view.atdmt.com ad.yieldmanager.com}==>{google} (0.0083916085,1.0)
{gstatic uai youtube}==>{orkut google ad.doubleclick.net yahoo} (0.0083916085,1.0)
{orkut terra ad.doubleclick.net yahoo}==>{google} (0.0083916085,1.0)
{orkut terra youtube}==>{google} (0.0083916085,1.0)
{rad.msn ad.yieldmanager.com gstatic orkut}==>{google yahoo} (0.0083916085,1.0)
{rad.msn ad.yieldmanager.com yahoo ceipmsn}==>{google} (0.0083916085,1.0)
{rad.msn bn.uol.com.br yahoo gstatic orkut}==>{google} (0.0083916085,1.0)
{rad.msn gstatic bn.uol.com.br ad.yieldmanager.com}==>{google yahoo} (0.0083916085,1.0)
{terra bn.uol.com.br ad.yieldmanager.com view.atdmt.com}==>{google yahoo} (0.0083916085,1.0)
{uai ad.doubleclick.net ad.yieldmanager.com youtube}==>{google yahoo} (0.0083916085,1.0)
{uai ad.doubleclick.net globo ad.yieldmanager.com bn.uol.com.br}==>{google} (0.0083916085,1.0)
{uai ad.doubleclick.net globo ad.yieldmanager.com view.atdmt.com}==>{google} (0.0083916085,1.0)
{uai ad.doubleclick.net globo yahoo view.atdmt.com}==>{google} (0.0083916085,1.0)
{uai bn.uol.com.br ad.yieldmanager.com rad.msn}==>{google yahoo} (0.0083916085,1.0)
{uai ceipmsn yahoo view.atdmt.com}==>{google} (0.0083916085,1.0)
{uai globo ad.yieldmanager.com bn.uol.com.br orkut}==>{google} (0.0083916085,1.0)
{uai orkut globo bn.uol.com.br yahoo view.atdmt.com}==>{google} (0.0083916085,1.0)
{uai orkut gstatic view.atdmt.com}==>{google yahoo} (0.0083916085,1.0)
{uai orkut youtube bn.uol.com.br}==>{google} (0.0083916085,1.0)
{uai terra view.atdmt.com}==>{google} (0.0083916085,1.0)
{uai yahoo ad.yieldmanager.com bn.uol.com.br view.atdmt.com ad.doubleclick.net}==>{google} (0.0083916085,1.0)
{uai yahoo ceipmsn ad.doubleclick.net}==>{google} (0.0083916085,1.0)
{uai yahoo ceipmsn terra}==>{google} (0.0083916085,1.0)
{view.atdmt.com ad.yieldmanager.com rad.msn orkut}==>{google bn.uol.com.br yahoo} (0.0083916085,1.0)
{view.atdmt.com bn.uol.com.br yahoo rad.msn orkut}==>{google ad.yieldmanager.com} (0.0083916085,1.0)
{view.atdmt.com yahoo rad.msn uai}==>{google} (0.0083916085,1.0)
{view.atdmt.com yahoo youtube ad.doubleclick.net}==>{google ad.yieldmanager.com} (0.0083916085,1.0)
{view.atdmt.com youtube gstatic globo}==>{ad.yieldmanager.com} (0.0083916085,1.0)
{yahoo bn.uol.com.br terra gstatic}==>{google} (0.0083916085,1.0)
